samples=12741 existing=20 pending=12721
      "run_id": "memos_medium",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 369,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 54,
      "semantic_any_supported": 98,
      "semantic_all_supported": 95,
      "semantic_any_partial_or_supported": 136,
      "semantic_all_partial_or_supported": 133,
      "semantic_any_contradicted": 27,
      "semantic_any_supported_rate": 26.56,
      "semantic_any_partial_or_supported_rate": 36.86
    },
    {
      "run_id": "memos_medium",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 102,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 18,
      "semantic_any_supported": 27,
      "semantic_all_supported": 20,
      "semantic_any_partial_or_supported": 39,
      "semantic_all_partial_or_supported": 34,
      "semantic_any_contradicted": 12,
      "semantic_any_supported_rate": 26.47,
      "semantic_any_partial_or_supported_rate": 38.24
    },
    {
      "run_id": "memos_medium",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 299,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 125,
      "semantic_any_supported": 199,
      "semantic_all_supported": 130,
